pl_name,hostname,discoverymethod,disc_year,pl_dens_source,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_met,sy_pnum,pl_rade_was_imputed,pl_bmasse_was_imputed,pl_dens_was_imputed,pl_orbper_was_imputed,pl_orbsmax_was_imputed,pl_orbeccen_was_imputed,st_teff_was_imputed,st_met_was_imputed,sy_pnum_was_imputed,complete_case_before_imputation,any_feature_was_imputed,imputation_method
75 Cet b,75 Cet,Radial Velocity,2012.0,derived_from_pl_bmasse_pl_rade,13.299999999999999,787.8966209500004,1.8466350601126738,696.6199999999997,1.9120000000000001,0.093,4809.0,0.1,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
75 Cet c,75 Cet,Radial Velocity,2023.0,derived_from_pl_bmasse_pl_rade,13.900000000000004,289.85950718,0.595127351493462,2051.62,3.9289999999999994,0.022999999999999996,4809.0,0.1,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
8 UMi b,8 UMi,Radial Velocity,2015.0,derived_from_pl_bmasse_pl_rade,13.5,524.4168715499999,1.1752820727436672,93.30999999999999,0.46199999999999997,0.062,4847.0,-0.030000000000000002,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
81 Cet b,81 Cet,Radial Velocity,2008.0,derived_from_pl_bmasse_pl_rade,13.099999999999998,1051.0585419500005,2.577981407475187,1005.5700000000004,2.1039999999999996,0.037,4734.0,-0.11,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
91 Aqr b,91 Aqr,Radial Velocity,2013.0,derived_from_pl_bmasse_pl_rade,13.099999999999998,1017.0000000000002,2.494444397491027,181.39999999999998,0.7,0.027,4665.0,-0.030000000000000002,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
AB Aur b,AB Aur,Imaging,2022.0,derived_from_pl_bmasse_pl_rade,12.500000000000002,2860.455662999999,8.075546893200384,151.59292658906153,93.9,0.4,9770.0,-0.17571129682790004,1.0,False,False,False,True,False,False,False,True,False,False,True,knn
AB Pic b,AB Pic,Imaging,2005.0,derived_from_pl_bmasse_pl_rade,12.300000000000004,4290.5,12.713330399217138,148.38443262469957,259.9999999999999,0.3372904955074508,5285.0,0.04,1.0,False,False,False,True,False,True,False,False,False,False,True,knn
AF Lep b,AF Lep,Imaging,2023.0,derived_from_pl_bmasse_pl_rade,12.999999999999998,1147.3605492700005,2.8796295260240243,8905.0,8.995999999999993,0.015,6140.0,0.19,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
AT2021ueyL b,AT2021ueyL,Microlensing,2025.0,derived_from_pl_bmasse_pl_rade,13.599999999999998,425.8900653800004,0.9335714162781302,4168.689999999999,4.009999999999999,0.18513974819834342,3680.0,-0.10358777528318858,1.0,False,False,False,False,False,True,False,True,False,False,True,knn
AU Mic b,AU Mic,Transit,2020.0,derived_from_pl_bmasse_pl_rade,4.79,8.990000000000002,0.4510450419485994,8.463446,0.07000000000000002,0.07,3540.0,0.01,4.0,False,False,False,False,False,False,False,False,False,True,False,knn
