config_id,node_id,centroid_log_mass,centroid_log_period,centroid_log_semimajor,centroid_z_mass,centroid_z_period,centroid_z_semimajor,spread_r3,n_r3_valid,r3_valid_fraction,I_R3,imputed_fraction_pl_bmasse,physically_derived_fraction_pl_bmasse,observed_fraction_pl_bmasse,imputed_fraction_pl_orbper,physically_derived_fraction_pl_orbper,observed_fraction_pl_orbper,imputed_fraction_pl_orbsmax,physically_derived_fraction_pl_orbsmax,observed_fraction_pl_orbsmax
orbital_pca2_cubes10_overlap0p35,cube17_cluster7,2.4859711496771473,2.0587697112932717,-0.28351031590089765,1.120603133590966,0.8938991313284816,0.9820299594944742,0.7806440414956083,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube17_cluster8,3.1422319322314416,3.0108237950079575,0.39220916538031764,1.765272045704517,1.9742547667676162,2.110020914632161,0.3845716035602354,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube17_cluster9,2.8759667771588875,2.4929897458460397,0.04857723017203689,1.50371006848829,1.3866359089696179,1.5363898065331978,0.54713906589684,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube18_cluster0,1.978846976125361,2.3807003739986343,-0.1111180080548844,0.6224365541442253,1.259214097803247,1.2698076089073778,1.1518846384311963,1085,1.0,0.054070660522273425,0.0018433179723502304,0.0,0.9981566820276497,0.1576036866359447,0.0,0.8423963133640553,0.0027649769585253456,0.023963133640552997,0.9732718894009217
orbital_pca2_cubes10_overlap0p35,cube18_cluster1,3.1939629285221427,2.850183500035428,0.2801443115337429,1.8160892909031012,1.7919661227495873,1.922948993473275,0.31754585549072734,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube18_cluster2,3.1422319322314416,3.0108237950079575,0.39220916538031764,1.765272045704517,1.9742547667676162,2.110020914632161,0.3845716035602354,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube18_cluster3,3.203331410137034,3.1001259739729767,0.4369712656069028,1.8252922922272408,2.075591564699744,2.1847431116196145,0.17712273115393007,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.75
orbital_pca2_cubes10_overlap0p35,cube19_cluster0,2.714800814722216,3.0762256638136107,0.32818494990055547,1.3453908630203224,2.0484703798730717,2.0031441144635087,0.5818408235661512,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube19_cluster1,1.2082446816258214,2.095021435173445,-0.36459822244053736,-0.13455419720563827,0.9350362419803444,0.8466684260748125,0.49572590428933455,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube19_cluster10,1.299665623400432,2.169951613026331,-0.30009600286191573,-0.04474807036556862,1.0200642265166533,0.9543431672751634,0.5804508710863278,19,1.0,0.017543859649122806,0.05263157894736842,0.0,0.9473684210526315,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube19_cluster11,1.0819973275891952,1.9336894943897216,-0.4715643328204148,-0.25857157954445414,0.7519627439685849,0.6681079311398629,0.16858915627039064,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube19_cluster2,1.1709694910561195,2.34166120197748,-0.18668348591014755,-0.1711709769861779,1.2149138944667195,1.1436647672361893,0.4509635476734947,27,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube19_cluster3,1.0033784791741776,1.8114410139031094,-0.558063816907864,-0.33580174295915827,0.613239705984997,0.5237127518123147,0.34676106419081915,34,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.029411764705882353,0.9705882352941176
orbital_pca2_cubes10_overlap0p35,cube19_cluster4,2.5969181590371644,2.8078273070479653,0.13398595439415328,1.229590429080403,1.7439018871431289,1.6789641603608068,1.2557525008088517,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube19_cluster5,2.598358599286782,2.927766725043703,0.22187914305938164,1.231005426095875,1.8800046867208648,1.8256858763672854,0.41576752954401175,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.8181818181818182
orbital_pca2_cubes10_overlap0p35,cube19_cluster6,1.5991465557427076,2.8284162469454888,0.08980172665440012,0.24944297682819522,1.7672654519095536,1.6052066165414602,0.43312083703870696,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube19_cluster7,2.393334394655813,2.695022930020559,0.057851584400254175,1.0296026690364768,1.6158956672146816,1.5518716565818844,0.8640286918391593,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube19_cluster8,2.6930644912165294,3.0010627040560487,0.27406007659321296,1.324038479333431,1.9631782430718374,1.91279246821099,0.440794364575943,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.8
orbital_pca2_cubes10_overlap0p35,cube19_cluster9,0.9370354670070735,1.9804541218593095,-0.42717748560917457,-0.4009729045111811,0.8050295073911564,0.742203711368701,0.315294775341716,19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube1_cluster0,0.6156557503137261,-0.07376965385536467,-1.7786907070597169,-0.7166759266080723,-1.526027383712403,-1.5139021606340606,0.6664044916873256,110,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13636363636363635,0.8636363636363636
orbital_pca2_cubes10_overlap0p35,cube1_cluster1,1.2989128508183738,0.17937942706938137,-1.6154577047431373,-0.04548754633982319,-1.2387632031774158,-1.2414143083614637,1.0633824051144682,159,1.0,0.0041928721174004195,0.012578616352201259,0.0,0.9874213836477987,0.0,0.0,1.0,0.0,0.05660377358490566,0.9433962264150944
orbital_pca2_cubes10_overlap0p35,cube1_cluster2,0.32926163143864434,-0.25100237013338705,-1.9047899070166623,-0.998011319426008,-1.7271444915431464,-1.724401873816574,0.26997299469115354,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11764705882352941,0.8823529411764706
orbital_pca2_cubes10_overlap0p35,cube1_cluster3,0.8682763495994383,-0.4383291653605134,-2.0299620089078925,-0.4685174943989686,-1.939715985488892,-1.9333539651506413,0.7116921746116314,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube1_cluster4,0.19729891941508215,-0.022962252196053263,-1.8048876057999381,-1.127643106455344,-1.4683730302007945,-1.5576331254060076,0.4322697214683996,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube1_cluster5,0.3603380256155324,-0.041553507305520355,-1.8454453915503068,-0.9674838435216119,-1.4894696964206713,-1.6253369829299682,0.07272600515276631,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666
orbital_pca2_cubes10_overlap0p35,cube24_cluster0,3.142540582091891,2.714759081455296,0.18300855060080537,1.7655752437243428,1.6382915192877112,1.7607984816291875,0.37221501667741214,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube24_cluster1,2.8325594775853027,2.6436142401675764,0.12444500753555772,1.4610694942870202,1.5575589941797734,1.6630372823321615,0.18357921707322145,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube24_cluster2,3.1939629285221427,2.850183500035428,0.2801443115337429,1.8160892909031012,1.7919661227495873,1.922948993473275,0.31754585549072734,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube24_cluster3,3.4006732581413304,2.919769161822067,0.32101664859716234,2.0191483900611558,1.8709293488340053,1.9911779372880365,0.3062657079423023,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.8571428571428571
orbital_pca2_cubes10_overlap0p35,cube24_cluster4,3.0983658804071212,2.771273417485884,0.2216267351168339,1.7221808224285602,1.702421890091356,1.825264527147549,0.169800046681355,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube24_cluster5,3.1422319322314416,3.0108237950079575,0.39220916538031764,1.765272045704517,1.9742547667676162,2.110020914632161,0.3845716035602354,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube24_cluster6,3.203331410137034,3.1001259739729767,0.4369712656069028,1.8252922922272408,2.075591564699744,2.1847431116196145,0.17712273115393007,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.75
orbital_pca2_cubes10_overlap0p35,cube25_cluster0,2.6095214871287244,3.054899550682498,0.3517268623419263,1.2419711381305039,2.0242702982838896,2.0424430617872695,0.7492371278625894,527,1.0,0.11827956989247312,0.0,0.0,1.0,0.3548387096774194,0.0,0.6451612903225806,0.0,0.024667931688804556,0.9753320683111955
orbital_pca2_cubes10_overlap0p35,cube25_cluster1,3.3653632067368604,4.158793586309252,1.0546213530505242,1.9844620381859244,3.276928275091027,3.2157977598523453,0.2861327922462977,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube25_cluster2,3.089367505256601,3.7241945440606536,0.7737959568072043,1.713341390188686,2.7837614135848354,2.747010762125411,0.3710844574808151,33,1.0,0.04040404040404041,0.0,0.0,1.0,0.12121212121212122,0.0,0.8787878787878788,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube25_cluster3,3.1939629285221427,2.850183500035428,0.2801443115337429,1.8160892909031012,1.7919661227495873,1.922948993473275,0.31754585549072734,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube25_cluster4,3.017332037928218,3.6132455696987535,0.7556772045369837,1.642578322227455,2.657860635731556,2.716764795795659,0.40676429435965855,4,1.0,0.16666666666666666,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,1.0
