config_id,node_id,anchor_pl_name,radius_type,radius_value,N_obs,N_exp_neighbors,delta_N_neighbors,delta_rel_neighbors,N_exp_analog,delta_N_analog,delta_rel_analog,n_analog_nodes,reference_used,warning
orbital_pca2_cubes10_overlap0p35,cube26_cluster13,HD 154345 b,r_node_q75,0.4298888140528184,51,52.0,1.0,0.01923076923039941,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster13,HD 154345 b,r_kNN,0.17653215205822814,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube5_cluster0,HD 109749 b,r_node_median,0.9681993860600063,991,986.0,-5.0,-0.00507099391480216,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube5_cluster0,HD 109749 b,r_node_q75,1.349470728246438,2378,2355.0,-23.0,-0.009766454352437467,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube5_cluster0,HD 109749 b,r_kNN,0.10067108208045067,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster2,GJ 3138 d,r_node_median,0.30201644233256,40,41.0,1.0,0.024390243901844143,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster2,GJ 3138 d,r_node_q75,0.512152838551744,114,115.0,1.0,0.008695652173837429,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster2,GJ 3138 d,r_kNN,0.16062181525989055,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster1,14 And b,r_node_median,0.26355190086492614,22,23.0,1.0,0.04347826086767486,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster1,14 And b,r_node_q75,0.3105607913689824,26,27.0,1.0,0.03703703703566529,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster1,14 And b,r_kNN,0.19077425274435722,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube11_cluster1,HD 160691 d,r_node_median,0.6695408065606097,1763,1737.0,-26.0,-0.01496833621185091,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube11_cluster1,HD 160691 d,r_node_q75,1.2762572820589888,3430,3373.0,-57.0,-0.01689890305365642,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube11_cluster1,HD 160691 d,r_kNN,0.06657918232856591,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster4,HD 206255 b,r_node_median,0.4724643399159964,103,104.0,1.0,0.009615384615292159,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster4,HD 206255 b,r_node_q75,0.8186301055150074,435,436.0,1.0,0.0022935779816461157,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster4,HD 206255 b,r_kNN,0.17538492226675026,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube11_cluster0,HD 206255 b,r_node_median,0.4724643399159964,103,104.0,1.0,0.009615384615292159,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube11_cluster0,HD 206255 b,r_node_q75,0.8186301055150074,435,436.0,1.0,0.0022935779816461157,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube11_cluster0,HD 206255 b,r_kNN,0.17538492226675026,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster11,HD 13931 b,r_node_median,0.17482885571472306,8,9.0,1.0,0.11111111109876542,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster11,HD 13931 b,r_node_q75,0.39817278278945417,17,18.0,1.0,0.05555555555246913,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster11,HD 13931 b,r_kNN,0.10869144637268999,4,5.0,1.0,0.19999999996,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster7,HIP 109384 b,r_node_median,0.8432715086197824,384,385.0,1.0,0.002597402597395851,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster7,HIP 109384 b,r_node_q75,1.3585964609885046,691,692.0,1.0,0.001445086705200224,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster7,HIP 109384 b,r_kNN,0.11328065289529347,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
