graph_a,graph_b,space_a,lens_a,space_b,lens_b,metric_zscore_l2_distance,common_metric_count,metrics_used
joint_no_density_domain_cubes10_overlap0p35,phys_density_pca2_cubes10_overlap0p35,joint_no_density,domain,phys_density,pca2,7.578364746714727,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,phys_min_density_cubes10_overlap0p35,joint_no_density,domain,phys_min,density,7.6137289415848155,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,phys_min_domain_cubes10_overlap0p35,joint_no_density,domain,phys_min,domain,8.166974206965092,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,phys_min_pca2_cubes10_overlap0p35,joint_no_density,domain,phys_min,pca2,7.573337035716785,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,thermal_density_cubes10_overlap0p35,joint_no_density,domain,thermal,density,10.732821267069033,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,thermal_domain_cubes10_overlap0p35,joint_no_density,domain,thermal,domain,7.2524803986762105,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_domain_cubes10_overlap0p35,thermal_pca2_cubes10_overlap0p35,joint_no_density,domain,thermal,pca2,8.200088703512295,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_pca2_cubes10_overlap0p35,orb_thermal_density_cubes10_overlap0p35,joint_no_density,pca2,orb_thermal,density,3.433586913480913,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_pca2_cubes10_overlap0p35,orb_thermal_domain_cubes10_overlap0p35,joint_no_density,pca2,orb_thermal,domain,2.4238946654357343,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_pca2_cubes10_overlap0p35,orb_thermal_pca2_cubes10_overlap0p35,joint_no_density,pca2,orb_thermal,pca2,1.6692384981475497,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_pca2_cubes10_overlap0p35,orbital_density_cubes10_overlap0p35,joint_no_density,pca2,orbital,density,5.239144363919025,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_pca2_cubes10_overlap0p35,orbital_domain_cubes10_overlap0p35,joint_no_density,pca2,orbital,domain,3.6642441134201547,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_pca2_cubes10_overlap0p35,orbital_pca2_cubes10_overlap0p35,joint_no_density,pca2,orbital,pca2,3.8237538493879626,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_pca2_cubes10_overlap0p35,phys_density_density_cubes10_overlap0p35,joint_no_density,pca2,phys_density,density,4.206214795375338,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_no_density_pca2_cubes10_overlap0p35,phys_density_domain_cubes10_overlap0p35,joint_no_density,pca2,phys_density,domain,3.6564488568357505,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
