config_id,node_id,member_id,pl_name,hostname,row_index,cube_id,cluster_id
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-198 d,Kepler-198 d,Kepler-198,3454,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1990 b,Kepler-1990 b,Kepler-1990,3470,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-207 b,Kepler-207 b,Kepler-207,3509,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-21 b,Kepler-21 b,Kepler-21,3518,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-255 d,Kepler-255 d,Kepler-255,3654,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-256 b,Kepler-256 b,Kepler-256,3655,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-312 b,Kepler-312 b,Kepler-312,3825,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-323 b,Kepler-323 b,Kepler-323,3853,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-342 e,Kepler-342 e,Kepler-342,3913,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-374 b,Kepler-374 b,Kepler-374,3992,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-407 b,Kepler-407 b,Kepler-407,4072,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-529 b,Kepler-529 b,Kepler-529,4254,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-578 b,Kepler-578 b,Kepler-578,4327,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-607 b,Kepler-607 b,Kepler-607,4372,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-619 c,Kepler-619 c,Kepler-619,4390,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-65 b,Kepler-65 b,Kepler-65,4430,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-653 c,Kepler-653 c,Kepler-653,4438,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-656 b,Kepler-656 b,Kepler-656,4441,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-755 b,Kepler-755 b,Kepler-755,4557,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-756 b,Kepler-756 b,Kepler-756,4559,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-757 b,Kepler-757 b,Kepler-757,4560,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-78 b,Kepler-78 b,Kepler-78,4594,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-780 b,Kepler-780 b,Kepler-780,4595,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-828 b,Kepler-828 b,Kepler-828,4666,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-845 b,Kepler-845 b,Kepler-845,4690,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-9 d,Kepler-9 d,Kepler-9,4759,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-908 b,Kepler-908 b,Kepler-908,4770,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-910 b,Kepler-910 b,Kepler-910,4773,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-922 b,Kepler-922 b,Kepler-922,4790,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-929 b,Kepler-929 b,Kepler-929,4797,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-98 b,Kepler-98 b,Kepler-98,4864,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-990 c,Kepler-990 c,Kepler-990,4877,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-997 b,Kepler-997 b,Kepler-997,4884,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-1408 c,TOI-1408 c,TOI-1408,5315,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-1416 b,TOI-1416 b,TOI-1416,5319,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-1444 b,TOI-1444 b,TOI-1444,5330,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-1798.02,TOI-1798.02,TOI-1798,5412,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-1807 b,TOI-1807 b,TOI-1807,5418,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-1839 b,TOI-1839 b,TOI-1839,5427,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-1860 b,TOI-1860 b,TOI-1860,5434,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-238 b,TOI-238 b,TOI-238,5534,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-2411 b,TOI-2411 b,TOI-2411,5540,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-2431 b,TOI-2431 b,TOI-2431,5545,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-4010 b,TOI-4010 b,TOI-4010,5652,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-4443.01,TOI-4443.01,TOI-4443,5692,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-500 b,TOI-500 b,TOI-500,5746,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-561 b,TOI-561 b,TOI-561,5810,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,TOI-6281 b,TOI-6281 b,TOI-6281,5870,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,WASP-47 e,WASP-47 e,WASP-47,6138,cube4,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,55 Cnc e,55 Cnc e,55 Cnc,36,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,CoRoT-7 b,CoRoT-7 b,CoRoT-7,135,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,EPIC 201427007 b,EPIC 201427007 b,EPIC 201427007,161,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,EPIC 201595106 b,EPIC 201595106 b,EPIC 201595106,163,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,EPIC 206024342 c,EPIC 206024342 c,EPIC 206024342,171,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,EPIC 206042996 c,EPIC 206042996 c,EPIC 206042996,175,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,EPIC 212624936 b,EPIC 212624936 b,EPIC 212624936,187,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,EPIC 220492298 b,EPIC 220492298 b,EPIC 220492298,191,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,EPIC 220554210 c,EPIC 220554210 c,K2-282,192,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,EPIC 220674823 b,EPIC 220674823 b,EPIC 220674823,193,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,EPIC 228836835 b,EPIC 228836835 b,EPIC 228836835,195,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,GJ 1252 b,GJ 1252 b,GJ 1252,222,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,HD 137496 b,HD 137496 b,HD 137496,683,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,HD 20329 b,HD 20329 b,HD 20329,903,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,HD 213885 b,HD 213885 b,HD 213885,946,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,HD 3167 b,HD 3167 b,HD 3167,1073,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,HD 93963 A b,HD 93963 A b,HD 93963 A,1298,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-131 b,K2-131 b,K2-131,1464,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-141 b,K2-141 b,K2-141,1483,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-156 b,K2-156 b,K2-156,1502,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-183 b,K2-183 b,K2-183,1541,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-187 b,K2-187 b,K2-187,1548,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-188 b,K2-188 b,K2-188,1552,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-201 b,K2-201 b,K2-201,1575,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-210 b,K2-210 b,K2-210,1588,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-211 b,K2-211 b,K2-211,1589,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-36 b,K2-36 b,K2-36,1767,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-396 b,K2-396 b,K2-396,1818,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-413 b,K2-413 b,K2-413,1837,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,K2-85 b,K2-85 b,K2-85,1903,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,KOI-4978 b,KOI-4978 b,KOI-4978,2112,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,KOI-55 b,KOI-55 b,KOI-55,2113,cube5,0
