config_id,component_id,n_nodes,n_members,mean_shadow_score,max_shadow_score,dominant_method,mean_imputation_fraction,fraction_high_confidence_shadow,interpretation_text
thermal_pca2_cubes10_overlap0p35,2,4,38,0.0006791415520027669,0.0013582831040055338,Radial Velocity,0.9666666666666666,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,0,2,74,0.00038734699686163745,0.0004262004016599941,Radial Velocity,0.9724702380952381,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,3,2,20,0.0,0.0,Radial Velocity,0.95,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,6,4,32,0.0,0.0,Radial Velocity,0.875,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,7,2,46,0.0,0.0,Radial Velocity,0.8913043478260869,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,8,2,12,0.0,0.0,Radial Velocity,0.9166666666666666,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,9,4,12,0.0,0.0,Radial Velocity,0.8333333333333334,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,10,4,20,0.0,0.0,Radial Velocity,0.9,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,11,2,10,0.0,0.0,Radial Velocity,0.7916666666666667,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,12,2,9,0.0,0.0,Imaging,1.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,15,2,12,0.0,0.0,Microlensing,1.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,18,2,8,0.0,0.0,Radial Velocity,0.5,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,19,2,10,0.0,0.0,Radial Velocity,0.6,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,20,4,16,0.0,0.0,Radial Velocity,1.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,21,2,28,0.0,0.0,Radial Velocity,1.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,22,2,8,0.0,0.0,Radial Velocity,1.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,23,2,6,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,24,2,14,0.0,0.0,Radial Velocity,0.5714285714285714,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,25,2,10,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,26,4,16,0.0,0.0,Transit,0.25,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,27,2,12,0.0,0.0,Transit,0.5,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,28,2,8,0.0,0.0,Radial Velocity,0.75,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,29,2,8,0.0,0.0,Radial Velocity,0.75,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,30,4,32,0.0,0.0,Transit,0.3125,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,31,2,8,0.0,0.0,Transit,0.75,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,32,4,16,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,33,2,10,0.0,0.0,Transit,0.1,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,34,2,8,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,35,2,11,0.0,0.0,Transit,0.0982142857142857,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,36,2,14,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,1,1,10,,,Imaging,0.95,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,13,1,4,,,Radial Velocity,0.75,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,14,1,5,,,Radial Velocity,1.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,16,1,4,,,Radial Velocity,0.625,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,17,1,4,,,Radial Velocity,0.625,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
thermal_pca2_cubes10_overlap0p35,37,1,4,,,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
