config_id,node_id,member_id,pl_name,hostname,row_index,cube_id,cluster_id,discoverymethod,disc_year,disc_facility,pl_rade_was_physically_derived,pl_rade_was_imputed,pl_bmasse_was_physically_derived,pl_bmasse_was_imputed,pl_dens_was_physically_derived,pl_dens_was_imputed,pl_orbper_was_physically_derived,pl_orbper_was_imputed,pl_orbsmax_was_physically_derived,pl_orbsmax_was_imputed,pl_insol_was_physically_derived,pl_insol_was_imputed,pl_eqt_was_physically_derived,pl_eqt_was_imputed,st_mass,pl_bmasse,pl_orbper,pl_orbsmax,pl_rade_was_imputed_catalog,pl_bmasse_was_imputed_catalog,pl_dens_was_imputed_catalog,pl_orbper_was_imputed_catalog,pl_orbsmax_was_imputed_catalog,pl_insol_was_imputed_catalog,pl_eqt_was_imputed_catalog,pl_rade_was_physically_derived_catalog,pl_bmasse_was_physically_derived_catalog,pl_dens_was_physically_derived_catalog,pl_orbper_was_physically_derived_catalog,pl_orbsmax_was_physically_derived_catalog,pl_insol_was_physically_derived_catalog,pl_eqt_was_physically_derived_catalog
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,WASP-114 b,WASP-114 b,WASP-114,6022,cube0,0,Transit,2016.0,SuperWASP-North,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.289,562.2412700000003,1.5487743000000005,0.02851,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,WASP-121 b,WASP-121 b,WASP-121,6029,cube0,0,Transit,2016.0,SuperWASP,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.33,371.85923619,1.27492504,0.02571,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,WASP-149 b,WASP-149 b,WASP-149,6056,cube0,0,Transit,2025.0,SuperWASP,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.05,314.96795134,1.332813,0.024,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,WASP-173 A b,WASP-173 A b,WASP-173 A,6082,cube0,0,Transit,2018.0,SuperWASP-South,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.05,1172.7927,1.3866531800000002,0.0247999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,WASP-33 b,WASP-33 b,WASP-33,6120,cube0,0,Transit,2010.0,SuperWASP,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.495,665.2181900000008,1.2198699999999998,0.0239,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,WASP-36 b,WASP-36 b,WASP-36,6123,cube0,0,Transit,2011.0,SuperWASP,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.081,750.3966300000009,1.5373659600000005,0.0267699999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,HD 213885 b,HD 213885 b,HD 213885,946,cube0,1,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS),False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.068,8.83,1.0080349999999998,0.02012,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,HD 93963 A b,HD 93963 A b,HD 93963 A,1298,cube0,1,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS),False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.0844,2.8,1.0376109,0.02061,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,KELT-16 b,KELT-16 b,KELT-16,1923,cube0,1,Transit,2017.0,KELT,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.211,874.0324999999997,0.9689950999999998,0.02044,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,Kepler-1323 b,Kepler-1323 b,Kepler-1323,2582,cube0,1,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.18,2.9199999999999995,0.9299066779999998,0.0191099999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,Kepler-1338 b,Kepler-1338 b,Kepler-1338,2600,cube0,1,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.04,0.721,0.9351180570000002,0.01937,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,Kepler-1427 b,Kepler-1427 b,Kepler-1427,2722,cube0,1,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.01,1.3700000000000003,0.9689723760000002,0.0197,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,Kepler-1589 b,Kepler-1589 b,Kepler-1589,2943,cube0,1,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.18,1.3200000000000005,0.991665274,0.0205,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,Kepler-653 c,Kepler-653 c,Kepler-653,4438,cube0,1,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.02,0.399,0.900376476,0.0185499999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,Kepler-929 b,Kepler-929 b,Kepler-929,4797,cube0,1,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.01,1.41,0.921032135,0.01982,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,TOI-1937 A b,TOI-1937 A b,TOI-1937 A,5439,cube0,1,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.072,638.8350980700002,0.94667944,0.01932,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,WASP-103 b,WASP-103 b,WASP-103,6012,cube0,1,Transit,2014.0,SuperWASP,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1.22,473.5470000000001,0.9255419999999998,0.01985,False,False,False,False,False,True,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,WASP-18 b,WASP-18 b,WASP-18,6088,cube0,1,Transit,2009.0,SuperWASP,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.294,3241.849751399999,0.9414522299999998,0.02024,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster2,HD 80653 b,HD 80653 b,HD 80653,1251,cube0,2,Transit,2020.0,K2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.18,5.719999999999999,0.7195730000000001,0.0166099999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster2,K2-187 b,K2-187 b,K2-187,1548,cube0,2,Transit,2018.0,K2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.966999,1.87,0.77401,0.0164,False,False,False,False,False,True,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster2,Kepler-1067 b,Kepler-1067 b,Kepler-1067,2227,cube0,2,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.95,0.437,0.7621292610000001,0.0164,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster2,LTT 9779 b,LTT 9779 b,LTT 9779,4920,cube0,2,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.02,29.32,0.7920520000000001,0.01679,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster2,WASP-47 e,WASP-47 e,WASP-47,6138,cube0,2,Transit,2015.0,K2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.058,9.0,0.7896100000000001,0.01673,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster3,Kepler-1087 b,Kepler-1087 b,Kepler-1087,2258,cube0,3,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.96,0.165,0.6938428549999999,0.0155399999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster3,Kepler-1340 b,Kepler-1340 b,Kepler-1340,2604,cube0,3,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.27,3.0200000000000005,0.665026916,0.01523,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster3,Kepler-1368 b,Kepler-1368 b,Kepler-1368,2638,cube0,3,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.07,3.3599999999999985,0.675649486,0.0153,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster3,Kepler-1489 c,Kepler-1489 c,Kepler-1489,2804,cube0,3,Transit,2024.0,Kepler,False,False,False,False,True,False,False,False,True,False,False,True,False,True,0.977,0.0869999999999999,0.6807410000000002,0.0150277043979096,False,False,False,False,False,True,True,False,False,True,False,True,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster3,Kepler-1547 b,Kepler-1547 b,Kepler-1547,2891,cube0,3,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.12,0.666,0.6929796760000001,0.0155599999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster3,Kepler-407 b,Kepler-407 b,Kepler-407,4072,cube0,3,Transit,2014.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.99,1.93,0.6693124,0.01531,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster3,Kepler-780 b,Kepler-780 b,Kepler-780,4595,cube0,3,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.01,0.64,0.6773751640000001,0.0149999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster3,Kepler-879 c,Kepler-879 c,Kepler-879,4732,cube0,3,Transit,2024.0,Kepler,False,False,False,False,True,False,False,False,True,False,False,True,False,True,0.974,0.0363999999999999,0.646716,0.0145078115732414,False,False,False,False,False,True,True,False,False,True,False,True,False,False
orbital_pca2_cubes10_overlap0p35,cube1_cluster0,55 Cnc e,55 Cnc e,55 Cnc,36,cube1,0,Radial Velocity,2004.0,McDonald Observatory,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.905,7.99,0.7365473999999999,0.01544,False,False,False,False,False,False,False,False,False,True,False,False,False,False
