config_id,node_id,anchor_pl_name,discoverymethod,disc_year,disc_facility,pl_bmasse,pl_orbper,pl_orbsmax,r3_log_mass,r3_log_period,r3_log_semimajor,r3_imputation_score,distance_to_node_centroid,anchor_representativeness,rv_proxy,rv_proxy_with_star,delta_rel_neighbors_best,delta_rel_neighbors_mean,delta_rel_analog_best,TOI,ATI,ATI_rank,deficit_class,expected_incompleteness_direction,anchor_selection_reason,interpretation_text,caution_text,positive_delta_rel_neighbors_best,one_minus_anchor_I_R3,ATI_recomputed,ATI_abs_error,dominant_ati_driver
orbital_pca2_cubes10_overlap0p35,cube13_cluster5,HD 20794 d,Radial Velocity,2011.0,La Silla Observatory,4.8,89.68000000000002,0.3625,0.6812412373755872,1.9526955995869169,-0.4406919890929875,0.0,0.2542455372599708,0.7224409548145223,0.0303427041799482,0.0985913099863205,0.0909090909008264,0.0421664562259238,0.0,0.0117841609001239,0.0007739418592363,59,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla HD 20794 d en cube13_cluster5 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0007739418592363203,2.0274580625478933e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube19_cluster9,HD 20794 d,Radial Velocity,2011.0,La Silla Observatory,4.8,89.68000000000002,0.3625,0.6812412373755872,1.9526955995869169,-0.4406919890929875,0.0,0.2542455372599708,0.7224409548145223,0.0303427041799482,0.0985913099863205,0.0909090909008264,0.0421664562259238,0.0,0.0117841609001239,0.0007739418592363,60,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla HD 20794 d en cube19_cluster9 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0007739418592363203,2.0274580625478933e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube2_cluster1,K2-104 b,Transit,2016.0,K2,3.86,1.9741954,0.0242,0.5865873046717549,0.2953901356395821,-1.616184634019569,0.0,0.2309628633695999,0.970208473588722,0.4881239261252275,0.6830771420599366,0.0909090909008264,0.0309688301810916,0.0,0.0084894746001759,0.0007487781993325,61,no_deficit,vecinos compatibles bajo referencia local en region fisico-orbital comparable,No preferred-method candidate dominated the filters; selected the least-imputed representative nearest to the medoid.,"Ancla K2-104 b en cube2_cluster1 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0007487781993325549,5.4860629927766524e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube19_cluster10,HD 216520 c,Radial Velocity,2020.0,Multiple Observatories,9.44,154.43,0.528,0.9749719942980688,2.188731671445743,-0.2773660774661877,0.0,0.3219135338609214,0.8574552721546195,0.2453947704828212,0.3028522022270101,0.0909090909008264,0.0388113175929496,0.0,0.0093776352040221,0.0007309911586636,62,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla HD 216520 c en cube19_cluster10 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0007309911586636832,8.315830662963819e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube13_cluster6,HD 216520 c,Radial Velocity,2020.0,Multiple Observatories,9.44,154.43,0.528,0.9749719942980688,2.188731671445743,-0.2773660774661877,0.0,0.3219135338609214,0.8574552721546195,0.2453947704828212,0.3028522022270101,0.0909090909008264,0.0388113175929496,0.0,0.0093776352040221,0.0007309911586636,63,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla HD 216520 c en cube13_cluster6 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0007309911586636832,8.315830662963819e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube11_cluster3,HD 156098 b,Radial Velocity,2022.0,Multiple Observatories,15.891420350000002,21.858490000000007,0.167,1.2011627154956117,1.3396201572789088,-0.7772835288524167,0.0,0.3435999731127352,0.9243202340045572,0.7546226630693086,0.6808961895364759,0.0909090909008264,0.0102250802172277,0.0,0.0069778156942031,0.0005863396577018,64,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla HD 156098 b en cube11_cluster3 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0005863396577018307,3.0682921481339775e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube13_cluster2,BD-06 1339 c,Radial Velocity,2013.0,La Silla Observatory,52.99999999999999,125.93999999999998,0.435,1.724275869600789,2.100163688966044,-0.3615107430453627,0.0,0.5069760477697182,0.5927682313679579,1.0242213066121075,1.1274892799359364,0.0909090909008264,0.0331364149630272,0.0,0.0100365219660367,0.0005408483067593,65,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla BD-06 1339 c en cube13_cluster2 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0005408483067593074,7.48099499014998e-18,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube19_cluster1,BD-06 1339 c,Radial Velocity,2013.0,La Silla Observatory,52.99999999999999,125.93999999999998,0.435,1.724275869600789,2.100163688966044,-0.3615107430453627,0.0,0.5069760477697182,0.5927682313679579,1.0242213066121075,1.1274892799359364,0.0909090909008264,0.0331364149630272,0.0,0.0100365219660367,0.0005408483067593,66,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla BD-06 1339 c en cube19_cluster1 con ATI=0.001, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.0005408483067593074,7.48099499014998e-18,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube11_cluster5,TOI-5110 b,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),921.7023802999998,30.158577,0.2157,2.9645907090585486,1.479410845963407,-0.6661498548974549,0.0,1.332949996332438,0.3893169956741091,2.47145376040408,2.360105896543909,0.0909090909008264,-0.3165978757537665,0.0,0.0071748400557279,0.0002539351976985,67,no_deficit,vecinos compatibles bajo referencia local en region fisico-orbital comparable,No preferred-method candidate dominated the filters; selected the least-imputed representative nearest to the medoid.,"Ancla TOI-5110 b en cube11_cluster5 con ATI=0.000, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.00025393519769857333,7.334627696864437e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube1_cluster0,55 Cnc e,Radial Velocity,2004.0,McDonald Observatory,7.99,0.7365473999999999,0.01544,0.9025467793139914,-0.1327992992001103,-1.8113527040002824,0.0,0.2947613106708103,0.9068105889760204,0.9468132123806948,0.975714159577226,0.0909090909008264,0.0399261257291609,0.0,0.002119839151575,0.0001747538717635,68,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla 55 Cnc e en cube1_cluster0 con ATI=0.000, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.00017475387176358166,8.166752864247062e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube6_cluster1,55 Cnc e,Radial Velocity,2004.0,McDonald Observatory,7.99,0.7365473999999999,0.01544,0.9025467793139914,-0.1327992992001103,-1.8113527040002824,0.0,0.2947613106708103,0.9068105889760204,0.9468132123806948,0.975714159577226,0.0909090909008264,0.0399261257291609,0.0,0.002119839151575,0.0001747538717635,69,no_deficit,menor masa planetaria o menor proxy RV a escala orbital comparable,"Selected among R3-valid preferred-method members, prioritizing lower imputation and medoid proximity.","Ancla 55 Cnc e en cube6_cluster1 con ATI=0.000, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.00017475387176358166,8.166752864247062e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
orbital_pca2_cubes10_overlap0p35,cube5_cluster1,Kepler-1323 b,Transit,2016.0,Kepler,2.9199999999999995,0.9299066779999998,0.0191099999999999,0.4653828514484182,-0.0315606334495639,-1.7187393129449893,0.0,0.6614441720414399,0.8609956031173647,0.4759030625982728,0.4279817243941893,0.0909090909008264,0.0147580735790339,0.0,0.0016274857574724,0.0001273870982902,70,no_deficit,vecinos compatibles bajo referencia local en region fisico-orbital comparable,No preferred-method candidate dominated the filters; selected the least-imputed representative nearest to the medoid.,"Ancla Kepler-1323 b en cube5_cluster1 con ATI=0.000, deficit no_deficit y uso prudente para priorizacion observacional.",ATI prioriza submuestreo topologico local; no equivale a una conclusion sobre objetos ausentes.,0.0909090909008264,1.0,0.00012738709829022567,2.5668486433594317e-17,bottleneck=TOI_region; strongest=anchor_low_imputation
