config_id,node_id,Astrometry,Eclipse Timing Variations,Imaging,Microlensing,Orbital Brightness Modulation,Pulsar Timing,Pulsation Timing Variations,Radial Velocity,Transit,Transit Timing Variations,Disk Kinematics
orbital_pca2_cubes10_overlap0p35,cube25_cluster1,0,0,0,0,0,0,0,10,0,0,
orbital_pca2_cubes10_overlap0p35,cube25_cluster2,0,1,0,4,0,0,0,28,0,0,
orbital_pca2_cubes10_overlap0p35,cube25_cluster3,0,0,0,0,0,0,0,5,0,0,
orbital_pca2_cubes10_overlap0p35,cube25_cluster4,0,1,0,2,0,0,0,1,0,0,
orbital_pca2_cubes10_overlap0p35,cube25_cluster5,0,2,0,4,0,0,0,15,0,1,
orbital_pca2_cubes10_overlap0p35,cube25_cluster6,0,0,1,1,0,1,0,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube25_cluster7,0,0,0,0,0,0,0,4,0,1,
orbital_pca2_cubes10_overlap0p35,cube25_cluster8,0,0,0,0,0,0,0,4,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster0,0,1,0,0,0,0,0,11,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster1,0,0,0,0,0,0,0,10,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster2,0,1,0,1,0,0,0,23,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster3,0,0,0,1,0,0,0,9,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster4,0,0,0,0,0,0,0,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster5,0,0,0,0,0,0,0,4,1,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster6,0,0,0,0,0,0,0,10,0,1,
orbital_pca2_cubes10_overlap0p35,cube26_cluster7,0,0,0,0,0,0,0,5,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster8,0,0,0,1,0,0,0,8,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster9,0,0,0,0,0,0,0,2,2,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster10,0,0,0,0,0,0,0,4,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster11,0,1,0,0,0,0,0,7,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster12,0,0,0,0,0,0,0,9,1,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster13,0,0,0,0,0,0,0,4,0,0,
orbital_pca2_cubes10_overlap0p35,cube26_cluster14,0,0,0,0,0,0,0,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube32_cluster0,0,0,0,0,0,0,0,10,0,0,
orbital_pca2_cubes10_overlap0p35,cube32_cluster1,0,1,0,4,0,0,0,28,0,0,
orbital_pca2_cubes10_overlap0p35,cube32_cluster2,0,0,0,0,0,0,0,7,0,0,
orbital_pca2_cubes10_overlap0p35,cube32_cluster3,0,0,1,0,0,0,0,5,0,0,
orbital_pca2_cubes10_overlap0p35,cube32_cluster4,0,0,1,1,0,1,0,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube32_cluster5,0,0,2,1,0,0,0,1,0,0,
orbital_pca2_cubes10_overlap0p35,cube33_cluster0,0,0,0,0,0,0,0,10,0,0,
orbital_pca2_cubes10_overlap0p35,cube33_cluster1,0,1,0,1,0,0,0,23,0,0,
orbital_pca2_cubes10_overlap0p35,cube33_cluster2,0,0,0,0,0,0,0,6,0,0,
orbital_pca2_cubes10_overlap0p35,cube33_cluster3,0,0,0,0,0,0,0,5,0,0,
phys_min_pca2_cubes10_overlap0p35,cube0_cluster0,0,0,0,0,0,0,0,0,5,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube1_cluster0,0,0,0,0,0,0,0,0,5,0,0.0
